track_id,playlist_titles,name_artist,playlist_count
6dGnYIeXmHdcikdzNNDMm2,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'a happy old nostalgic summer playlist', ""60's, 70's & 80'S Easy Listening & Soft Rock (Yacht Rock)"", 'Oldies that everyone knows 🦤', 'Cooking dinner and drinking wine in the summertime', 'brunch with friends', 'Mothers Day Brunch', 'Relaxed Dinner Vibes', 'HAPPY ENERGY', 'motivated mornings.', 'waking up early every morning to repeat the same day kinda vibe', 'Feel Good Songs 💛 Happy Vibes only 🌞 ', 'happy songs to wake up to', 'calming beatles 💤', 'easy summer morning', 'Campfire Sing Alongs', 'Pool Party Classics ( old toppies) ', 'sunny day 70’s vibes ', 'Sunny Spring Days🌞🌻', 'Lazing on a Sunny Afternoon: A 60s Summer', 'Take Me Home, Country Roads']","['Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles', 'Here Comes The Sun - Remastered 2009 - The Beatles']",23
6XK6Zw6JkFsHXzAcMWNiIr,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'feel good', 'feel good vibes☁️🫧💫', 'Happy Travel songs ✈️🌍', 'Sun Outdoors Summer']","['Send Me On My Way - Rusted Root', 'Send Me On My Way - Rusted Root', 'Send Me On My Way - Rusted Root', 'Send Me On My Way - Rusted Root', 'Send Me On My Way - Rusted Root', 'Send Me On My Way - Rusted Root', 'Send Me On My Way - Rusted Root']",7
2eF8pWbiivYsYRpbntYsnc,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good ', 'Feel Good Songs 💛🌻💛', 'Making Dinner Jams!', 'Morning Brunch 2025 <3 clean restaurant good vibes only 70’s-80’s bangers Mother’s Day  Father’s Day']","[""Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder"", ""Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder"", ""Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder"", ""Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder"", ""Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder"", ""Signed, Sealed, Delivered (I'm Yours) - Stevie Wonder""]",6
2Nz6aF1umHh5Et6I5H581L,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Making Dinner Jams!']","['Hooked On A Feeling - Blue Swede', 'Hooked On A Feeling - Blue Swede', 'Hooked On A Feeling - Blue Swede', 'Hooked On A Feeling - Blue Swede']",4
3G7tRC24Uh09Hmp1KZ7LQ2,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good ', 'Feel Good', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛 Happy Vibes only 🌞 ']","[""I'm a Believer - 2006 Remaster - The Monkees"", ""I'm a Believer - 2006 Remaster - The Monkees"", ""I'm a Believer - 2006 Remaster - The Monkees"", ""I'm a Believer - 2006 Remaster - The Monkees"", ""I'm a Believer - 2006 Remaster - The Monkees"", ""I'm a Believer - 2006 Remaster - The Monkees""]",6
6A9mKXlFRPMPem6ygQSt7z,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'HAPPY ENERGY', 'Firepit Music 🔥', 'Old School Beach Playlist', 'Chill Beach Day', 'Family Beach Day', 'Sun Outdoors Summer', 'Reggae Classics 70s 80s & 90s | The Best Reggae Songs Of All Time | Reggae Music Hits | Top Reggae']","['Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers', 'Three Little Birds - Bob Marley & The Wailers']",10
1h2xVEoJORqrg71HocgqXd,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛']","['Superstition - Single Version - Stevie Wonder', 'Superstition - Single Version - Stevie Wonder', 'Superstition - Single Version - Stevie Wonder']",3
62AuGbAkt8Ox2IrFFb8GKV,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'feel good', 'Oldies that everyone knows 🦤', 'Golden Oldies: 50s, 60s & 70s', 'Folk Rock Classics', 'Folk Rock Classics', 'Best CLEAN Party Songs!', 'Fun Wedding Dance Songs', 'Entertaining guests but not a party', 'Family Summer BBQ']","['Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond', 'Sweet Caroline - Neil Diamond']",12
5RsUlxLto4NZbhJpqJbHfN,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Awesome 80s Workout Mix', 'Endless Summer Groove🌴🎧', '70s & 80s Rock Anthems']","[""Jessie's Girl - Rick Springfield"", ""Jessie's Girl - Rick Springfield"", ""Jessie's Girl - Rick Springfield"", ""Jessie's Girl - Rick Springfield"", ""Jessie's Girl - Rick Springfield"", ""Jessie's Girl - Rick Springfield""]",6
3mRM4NM8iO7UBqrSigCQFH,"['Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'Feel Good Songs 💛🌻💛', 'walking in nyc vibes', 'walking around nyc & loving life🌃🗽🫶🏼', 'Vintage Rock Summer Roadtrip', 'The Best Of 70’s', 'DISCO MUSIC PLAYLIST 🕺 💃 ']","['Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees']",8
